program_id,program_code,program_name,course_id,course_code,course_name
1,"FISI","Física",,"LENG1501","Español"
1,"FISI","Física",,"FISI1002","Introduccion a la fisica"
1,"FISI","Física",3159,"MATE1203","Calculo diferencial"
1,"FISI","Física",3832,"FISI1018","Física I"
1,"FISI","Física",3197,"FISI1019","Física Experimental I"
1,"FISI","Física",,"ISIS1204","APO I"
1,"FISI","Física",3269,"MATE1214","Cálculo Integral"
1,"FISI","Física",3216,"MATE1105","Álgebra Lineal"
1,"FISI","Física",4109,"FISI1028","Física II"
1,"FISI","Física",3078,"FISI1029","Física Experimental II "
1,"FISI","Física",2923,"FISI2026","Herramientas Computacionales"
1,"FISI","Física",1234,"DERE1300","Consitución y Democracia"
1,"FISI","Física",3814,"QUIM1101","Química General"
1,"FISI","Física",4272,"FISI1038","Ondas y Fluidos"
1,"FISI","Física",3550,"FISI1039","Laboratorio de Ondas de Fluidos"
1,"FISI","Física",3753,"MBIO1100","Biología Celular"
1,"FISI","Física",3222,"MATE2301","Ecuaciones Diferenciales"
1,"FISI","Física",4065,"FISI1048","Física Moderna"
1,"FISI","Física",3659,"FISI1049","Laboratorio de Física Moderna"
1,"FISI","Física",3573,"FISI2405","Mecánica"
1,"FISI","Física",4218,"FISI2040","Termodinámica"
1,"FISI","Física",3841,"FISI1003","Coloquio I de Física"
1,"FISI","Física",3281,"FISI2007","Métodos Matemáticos"
1,"FISI","Física",4083,"FISI1860","Electrónica para Ciencias"
1,"FISI","Física",4109,"FISI1028","Métodos Computacionales"
1,"FISI","Física",3078,"FISI1029","Métodos Computacionales Laboratorio"
1,"FISI","Física",3383,"FISI2432","Electromagnetismo I"
1,"FISI","Física",3882,"FISI3000","Práctica Docente de Física"
1,"FISI","Física",3896,"MATE1107","Álgebra Lineal II"
1,"FISI","Física",3499,"FISI2051","Laboratorio Intermedio"
1,"FISI","Física",3583,"FISI3434","Electromagnetismo II"
1,"FISI","Física",3066,"FISI3010","Mecánica Cuántica I"
1,"FISI","Física",4343,"FISI3040","Física Estadística"
1,"FISI","Física",,"FISI1105","Coloquio II de Física"
1,"FISI","Física",2995,"FISI3152","Física de Partículas"
1,"FISI","Física",3242,"FISI3020","Mecánica Cuántica II"
1,"FISI","Física",3701,"FISI3760","Física del Estado Sólido"
1,"FISI","Ingeniería Electrónica",,"CBUA0001",""
1,"FISI","Ingeniería Electrónica",,"CBUA0002",""
1,"FISI","Ingeniería Electrónica",,"CBUA0003",""
1,"FISI","Ingeniería Electrónica",,"CBUA0001",""
1,"FISI","Ingeniería Electrónica",,"CBUB0002",""
1,"FISI","Ingeniería Electrónica",,"CBUB0003",""
1,"FISI","Ingeniería Electrónica",,"CLES0001",""
1,"FISI","Ingeniería Electrónica",,"CLES0002",""
19,"ISIS","Ingeniería de Sistemas y Computación",3159,"MATE1203","Cálculo Diferencial"
19,"ISIS","Ingeniería de Sistemas y Computación",,"ISIS1204","APO I"
19,"ISIS","Ingeniería de Sistemas y Computación",3186,"ISIS1001","Introducción a Ingeniería de Sistemas"
19,"ISIS","Ingeniería de Sistemas y Computación",,"LENG1501","Español"
19,"ISIS","Ingeniería de Sistemas y Computación",,"DERE1300","Constitución y Democracia"
19,"ISIS","Ingeniería de Sistemas y Computación",3164,"ISIS1002","Acompañamiento ISIS"
19,"ISIS","Ingeniería de Sistemas y Computación",3832,"FISI1018","Física I"
19,"ISIS","Ingeniería de Sistemas y Computación",3197,"FISI1019","Física Experimental I"
19,"ISIS","Ingeniería de Sistemas y Computación",3269,"MATE1214","Cálculo Integral"
19,"ISIS","Ingeniería de Sistemas y Computación",3684,"ISIS1104","Matemática Estructural"
19,"ISIS","Ingeniería de Sistemas y Computación",3041,"ISIS1205","APO II"
19,"ISIS","Ingeniería de Sistemas y Computación",4109,"FISI1028","Física II"
19,"ISIS","Ingeniería de Sistemas y Computación",3078,"ISIS1029","Física Experimental II"
19,"ISIS","Ingeniería de Sistemas y Computación",3216,"MATE1105","Álgebra Lineal 1"
19,"ISIS","Ingeniería de Sistemas y Computación",3621,"ISIS1106","Lenguajes y Máquinas"
19,"ISIS","Ingeniería de Sistemas y Computación",3371,"ISIS1206","Estructuras de datos"
19,"ISIS","Ingeniería de Sistemas y Computación",3649,"ISIS1304","Fundamentos de Infraestructura Tecnológica"
19,"ISIS","Ingeniería de Sistemas y Computación",3753,"MBIO1100","Biología Celular"
19,"ISIS","Ingeniería de Sistemas y Computación",4079,"MATE1207","Cálculo Vectorial"
19,"ISIS","Ingeniería de Sistemas y Computación",3321,"ISIS1105","Diseño y Análisis de Algoritmos"
19,"ISIS","Ingeniería de Sistemas y Computación",3995,"ISIS2304","Sistemas Transaccionales"
19,"ISIS","Ingeniería de Sistemas y Computación",3720,"ISIS2603","Desarrollo de Software en Equipo"
19,"ISIS","Ingeniería de Sistemas y Computación",3228,"ISIS1404","TI en las Organizaciones"
19,"ISIS","Ingeniería de Sistemas y Computación",3106,"IIND2401","Análisis de Decisión e Inversión"
19,"ISIS","Ingeniería de Sistemas y Computación",3142,"IIND2106","Probabilidad y Estadística"
19,"ISIS","Ingeniería de Sistemas y Computación",3353,"ISIS2007","PMC"
19,"ISIS","Ingeniería de Sistemas y Computación",3615,"ISIS2503","Arquitectura y Diseño de Software"
19,"ISIS","Ingeniería de Sistemas y Computación",4051,"ISIS2403","Arquitectura Empresarial"
19,"ISIS","Ingeniería de Sistemas y Computación",3981,"ISIS2203","Infraestructura Computacional"
19,"ISIS","Ingeniería de Sistemas y Computación",4270,"ISIS2008","Vision ISIS"
19,"ISIS","Ingeniería de Sistemas y Computación",4011,"ISIS3302","Modelado, Simluación y Optmización"
19,"ISIS","Ingeniería de Sistemas y Computación",4105,"ISIS3301","Inteligencia de Negocios"
19,"ISIS","Ingeniería de Sistemas y Computación",3591,"ISIS3710","Programación con tecnologías Web"
19,"ISIS","Ingeniería de Sistemas y Computación",3579,"ISIS3204","Infraestructura de Comunicaciones"
19,"ISIS","Ingeniería de Sistemas y Computación",3151,"ISIS3510","Construcción de Aplicaciones "
19,"ISIS","Ingeniería de Sistemas y Computación",3349,"ISIS3007","Proyecto de Grado"
19,"ISIS","Ingeniería de Sistemas y Computación",4052,"ISIS3990","Inscripción a Grado"
19,"ISIS","Ingeniería Electrónica",,"CBUA0001",""
19,"ISIS","Ingeniería Electrónica",,"CBUA0002",""
19,"ISIS","Ingeniería Electrónica",,"CBUA0003",""
19,"ISIS","Ingeniería Electrónica",,"CBUA0001",""
19,"ISIS","Ingeniería Electrónica",,"CBUB0002",""
19,"ISIS","Ingeniería Electrónica",,"CBUB0003",""
19,"ISIS","Ingeniería Electrónica",,"CLES0001",""
19,"ISIS","Ingeniería Electrónica",,"CLES0002",""
3,"IELE","Ingeniería Electrónica",,"IELE1000","Introducción a Ingeniería Electrónica"
3,"IELE","Ingeniería Electrónica",,"MATE1203","Cálculo Diferencial"
3,"IELE","Ingeniería Electrónica",,"FISI1018","Física I"
3,"IELE","Ingeniería Electrónica",,"FISI1019","Física Experimental I"
3,"IELE","Ingeniería Electrónica",,"ISIS1204","APO I"
3,"IELE","Ingeniería Electrónica",,"DERE1299","Constitución y Democraca"
3,"IELE","Ingeniería Electrónica",,"LENG1501","Español"
3,"IELE","Ingeniería Electrónica",,"IELE1400","Fundamentos de Redes"
3,"IELE","Ingeniería Electrónica",,"IELE3220","Sistemas Electrónicos Digitales"
3,"IELE","Ingeniería Electrónica",,"MATE1214","Cálculo Integral"
3,"IELE","Ingeniería Electrónica",,"MATE1105",""
3,"IELE","Ingeniería Electrónica",,"FISI1028",""
3,"IELE","Ingeniería Electrónica",,"FISI1029",""
3,"IELE","Ingeniería Electrónica",,"IELE1006",""
3,"IELE","Ingeniería Electrónica",,"IELE2010",""
3,"IELE","Ingeniería Electrónica",,"MATE1207",""
3,"IELE","Ingeniería Electrónica",,"MATE2210",""
3,"IELE","Ingeniería Electrónica",,"IELE1502",""
3,"IELE","Ingeniería Electrónica",,"IELE2206",""
3,"IELE","Ingeniería Electrónica",,"IELE2500",""
3,"IELE","Ingeniería Electrónica",,"IELE2002",""
3,"IELE","Ingeniería Electrónica",,"QUIM1101",""
3,"IELE","Ingeniería Electrónica",,"IIND2106",""
3,"IELE","Ingeniería Electrónica",,"IELE2402",""
3,"IELE","Ingeniería Electrónica",,"IELE2300",""
3,"IELE","Ingeniería Electrónica",,"IELE3200",""
3,"IELE","Ingeniería Electrónica",,"IELE2009",""
3,"IELE","Ingeniería Electrónica",,"IIND2401",""
3,"IELE","Ingeniería Electrónica",,"IELE2100",""
3,"IELE","Ingeniería Electrónica",,"IELE3006",""
3,"IELE","Ingeniería Electrónica",,"IELE4100",""
3,"IELE","Ingeniería Electrónica",,"IELE4111",""
3,"IELE","Ingeniería Electrónica",,"IELE4231",""
3,"IELE","Ingeniería Electrónica",,"IELE4405",""
3,"IELE","Ingeniería Electrónica",,"ICYA2401",""
3,"IELE","Ingeniería Electrónica",,"IELE3000",""
3,"IELE","Ingeniería Electrónica",,"CBUA0001",""
3,"IELE","Ingeniería Electrónica",,"CBUA0002",""
3,"IELE","Ingeniería Electrónica",,"CBUA0003",""
3,"IELE","Ingeniería Electrónica",,"CBUA0001",""
3,"IELE","Ingeniería Electrónica",,"CBUB0002",""
3,"IELE","Ingeniería Electrónica",,"CBUB0003",""
3,"IELE","Ingeniería Electrónica",,"CLES0001",""
3,"IELE","Ingeniería Electrónica",,"CLES0002",""
35,"DERE","Derecho",,"DERE1101",""
35,"DERE","Derecho",,"DERE1102",""
35,"DERE","Derecho",,"DERE1301",""
35,"DERE","Derecho",,"MATE1501",""
35,"DERE","Derecho",,"DERE1103",""
35,"DERE","Derecho",,"DERE1201",""
35,"DERE","Derecho",,"DERE3101",""
35,"DERE","Derecho",,"DERE2101",""
35,"DERE","Derecho",,"DERE2201",""
35,"DERE","Derecho",,"DERE2206",""
35,"DERE","Derecho",,"DERE2301",""
35,"DERE","Derecho",,"DERE2302",""
35,"DERE","Derecho",,"DERE2102",""
35,"DERE","Derecho",,"DERE2202",""
35,"DERE","Derecho",,"DERE2304",""
35,"DERE","Derecho",,"DERE2601",""
35,"DERE","Derecho",,"DERE2203",""
35,"DERE","Derecho",,"DERE2211",""
35,"DERE","Derecho",,"DERE2303",""
35,"DERE","Derecho",,"DERE2401",""
35,"DERE","Derecho",,"DERE2501",""
35,"DERE","Derecho",,"DERE2602",""
35,"DERE","Derecho",,"DERE2204",""
35,"DERE","Derecho",,"DERE2205",""
35,"DERE","Derecho",,"DERE2207",""
35,"DERE","Derecho",,"DERE2403",""
35,"DERE","Derecho",,"DERE2502",""
35,"DERE","Derecho",,"DERE2103",""
35,"DERE","Derecho",,"DERE2208",""
35,"DERE","Derecho",,"DERE2402",""
35,"DERE","Derecho",,"DERE3201",""
35,"DERE","Derecho",,"DERE3204",""
35,"DERE","Derecho",,"DERE3303",""
35,"DERE","Derecho",,"DERE3202",""
35,"DERE","Derecho",,"DERE3302",""
35,"DERE","Derecho",,"DERE3601",""
